,Example Reviews
0,Blue Jean Teddy Mobile My sons love this! It was one of the first toys they smiled at! Especially the panda which they follow around and smile when it comes back to them. The music plays for quite a while too. I also like the button on top that allows you to stop the music if you want.
1,FuzziBunz Fleece Portable Changing Pad (Watermelon) I ordered this product strictly because it claimed to be waterproof and it was red. There aren\'t a lot of red items for babies and I hate that most of them items for baby boys are ugly blue and brown and disgusting looking patterns. This changing pad it very soft on both sides and the red side is actually waterproof. I love this using this when I go out because I do not like dirty public restrooms. I don\'t want to touch anything in them but sadly now that I have another baby I have to use public restrooms when we\'re out. These are the perfect size to keep my son free from germs. The only problem is that when he\'s moving around because he\'s mad or playing when I change him the cloth moves also. If I could make one suggestion to the creator of this product it would be to make it a little wider and longer so when babies move it still completely covers those nasty changing tables. I also use this product at home when I\'m changing my son on the couch or ottoman just incase he decides to surprise my furniture with a little squirt.
2,"Infantino Squeeze and Stack Block Set These are brightly colored, somewhat squishy, they squeak, are easy to grab blocks and good for a teething baby blocks. My 5 month old loves them. Would stongly recommend as 1st blocks."
3,"Munchkin Click Lock Straw Cup - 9 oz - 2 pk - Colors May Vary I\'ve been trying to transition my 11 month old twins to sippy cups and have literally tried 10 different types. This is the only one they can easily drink out of. Regular sippy cups were too fast or slow flowing, plus they didn\'t understand the concept of tilting the cup. Straw cups were too difficult. The mouthpiece on this cup is almost nipple-like, and incredibly intuitive. The straw makes it easy to drink from. Plus it\'s spill-proof. It\'s amazing to finally see my twins self-feed!!"
4,"Graco SnugRide Classic Connect 30/35 Infant Car Seat Base, Silver Perfect match and fit. I love the Graco Classice Connect, its so quick and convenient. Also love that I was able to find this extra base online."
5,"Fisher-Price Kick and Play Piano Gym, Discover \'N Grow This gym has great colors and the toys interested a 2 1/2 month old. I felt the construction was inferior and he did get his hand caught in the hanging ring which is of concern. He did not use his feet to play music. Maybe he will do that when he is older."
6,Fisher-Price Giggle Gang Plush Toy - Orange I like this toy. It is cute and the giggles it make are very cute. My 8-month girls like it a lot.
7,"Samsung SEW-3037W Wireless Pan Tilt Video Baby Monitor Infrared Night Vision and Zoom, 3.5 inch Orig. review:Sound and video broke after a few months. It worked at first but now always displays out of range and hard to use. The control functions on the remote control do not function any more either. Do not buy this monitorUpdate:Samsung USA was able to replace the defective product. We have had the replacement monitor now for about a month and a half and have been very happy so far.  Video and audio is sharp and product has been reliable thus far.  In the interim period between monitors, tried two other companies\' products and was not happy with screen size or features.  Overall. Samsung has the best package in terms of all around well-rounded product."
8,"Leachco Safer Bather Infant Bath Pad, Blue Fish I really do like the product, however it did mildew (the tag says it won\'t). I am having to throw it out after having it for 2 months.  It just keeps getting mildew spots no matter what I do!"
9,"Graco My Ride 65 LX Convertible Car Seat, Rane I needed a new car seat because my beautiful baby was starting to weigh out of her current car seat. My son has one similar and figured might as well stay with the same brand.  They are easy to use and work great.  No issues or concerns so far."
